Family,Genus,Species,EToLID,Catalog #,Label,Total length (bp),No of charsets,enc1,ficd,gtdc2 ,kiaa1239,myh6,panx2,plagl2,ptchd4,rag1,rag2,rh,ripk4,snx33,sidkey,gpr85,svep1,tbr1b,vcpip,zic1,16S,hoxc6a,,,,,,
Acanthuridae,Paracanthurus,hepatus,E0002,KU_00046,E0002_Paracanthurus_hepatus,8975,10,657,0,0,0,778,846,819,756,1261,0,0,0,0,1249,0,0,831,0,832,946,0,,,,,,
Acanthuridae,Acanthurus,bahianus,E0005,KU_00152,E0005_Acanthurus_bahianus,10775,12,657,0,891,0,720,810,804,756,1452,0,0,0,705,1250,948,0,819,0,963,0,0,,,,,,
Acanthuridae,Zebrasoma,velifer,E0029,KU_00783,E0029_Zebrasoma_velifer,5268,6,0,0,0,771,690,0,0,0,0,0,0,0,0,1232,0,0,830,0,799,946,0,,,,,,
Acanthuridae,Ctenochaetus,strigosus,E0050,KU_01814,E0050_Ctenochaetus_strigosus,8563,10,657,0,891,0,646,0,699,756,1482,0,0,0,705,0,954,0,789,0,984,0,0,,,,,,
Acanthuridae,Naso,unicornis,E0701,KU_05447,E0701_Naso_unicornis,6406,8,0,654,0,0,719,0,804,0,0,0,0,637,0,1251,0,717,0,0,827,797,0,,,,,,
Acanthuridae,Acanthurus,guttatus,E0709,KU_05489,E0709_Acanthurus_guttatus,6908,7,657,0,0,0,0,0,819,0,1548,0,0,0,0,1248,0,825,0,0,822,0,989,,,,,,
Acanthuridae,Acanthurus,triostegus,E0711,KU_05498,E0711_Acanthurus_triostegus,10623,12,657,654,0,0,778,753,804,0,1551,0,0,0,705,1248,0,825,0,0,822,797,1029,,,,,,
Acanthuridae,Zebrasoma,flavescens,E0730,KU_05604,E0730_Zebrasoma_flavescens,7909,8,0,654,0,0,705,0,0,0,0,0,0,632,705,1251,0,825,0,0,827,2310,0,,,,,,
Acanthuridae,Ctenochaetus,truncatus,E0854,KU_06896,E0854_Ctenochaetus_truncatus,6749,9,0,645,0,0,715,819,804,744,0,0,0,642,673,0,0,0,831,0,876,0,0,,,,,,
Acanthuridae,Zebrasoma,scopas,E0859,KU_06930,E0859_Zebrasoma_scopas,12548,15,657,636,0,0,684,894,819,744,1548,0,0,638,695,0,0,825,830,747,877,946,1008,,,,,,
Acanthuridae,Acanthurus,leucosternon,E0880,KU_07007,E0880_Acanthurus_leucosternon,11947,12,0,645,891,0,0,0,804,743,1482,0,0,0,705,0,0,825,831,765,881,2310,1065,,,,,,
Acanthuridae,Acanthurus,lineatus,E0889,KU_07037,E0889_Acanthurus_lineatus,10801,11,0,645,0,0,0,0,804,744,0,0,0,0,705,1251,0,825,831,657,877,2310,1152,,,,,,
Acanthuridae,Naso,brevirostris,E0918,KU_07162,E0918_Naso_brevirostris,7754,9,657,657,0,807,0,888,819,0,1543,0,0,0,705,0,0,732,0,0,0,946,0,,,,,,
Acanthuridae,Ctenochaetus,striatus,E0982,KU_07569,E0982_Ctenochaetus_striatus,5921,7,657,636,0,0,0,714,813,0,1548,0,756,0,0,0,0,0,0,0,0,797,0,,,,,,
Acanthuridae,Naso,lituratus,G1514,_,G1514_Naso_lituratus,6951,8,657,0,822,0,0,0,819,591,1553,0,852,0,0,0,0,0,711,0,0,946,0,,,,,,
Acestrorhynchidae,Acestrorhynchus,falcatus,G1186,_,G1186_Acestrorhynchus_falcatus,3108,3,0,0,0,0,765,0,0,0,1374,0,0,0,0,0,0,0,0,0,0,969,0,,,,,,
Achiridae,Trinectes,maculatus,E0046,KU_01501,E0046_Trinectes_maculatus,10630,10,0,0,0,951,708,0,804,756,1575,1206,852,0,705,1263,0,0,0,0,0,1810,0,,,,,,
Achiridae,Achirus,lineatus,E0605,KU_5115,E0605_Achirus_lineatus,10313,11,0,654,0,948,723,0,0,0,1512,0,762,638,693,0,0,825,0,753,0,1756,1049,,,,,,
Achiridae,Gymnachirus,melas,E0609,KU_5123,E0609_Gymnachirus_melas,10120,10,0,0,0,762,691,903,0,0,1395,0,774,645,0,1299,0,810,0,0,0,1806,1035,,,,,,
Achiridae,Gymnachirus,texae,E0630,KU_05187,E0630_Gymnachirus_texae,9334,10,0,654,0,771,737,0,0,0,1380,0,774,644,693,1059,0,813,0,0,0,1809,0,,,,,,
Achiridae,Hypoclinemus,sp,E1162,GO328,E1162_Hypoclinemus_sp,6591,7,0,0,0,951,0,0,813,0,1536,0,672,645,696,1278,0,0,0,0,0,0,0,,,,,,
Achiropsettidae,Mancopsetta,maculata,E1169,CL-P147/LS714,E1169_Mancopsetta_maculata,6446,7,0,0,0,951,789,0,807,0,0,0,747,645,705,0,0,0,0,0,0,1802,0,,,,,,
Achiropsettidae,Neoachiropsetta,milfordi,E1170,CL-P148/LS715,E1170_Neoachiropsetta_milfordi,5643,7,0,0,0,948,780,0,807,0,0,0,738,645,705,0,0,0,0,0,0,1020,0,,,,,,
Acipenseridae,Acipenser,fulvescens,G1187,_,G1187_Acipenser_fulvescens,7064,6,0,711,0,963,0,0,0,0,1575,0,0,0,0,0,990,0,0,0,984,1841,0,,,,,,
Acipenseridae,Scaphirhynchus,albus,G1476,_,G1476_Scaphirhynchus_albus,8547,7,0,0,0,963,0,968,0,0,1575,1182,0,0,0,0,990,0,0,0,984,1885,0,,,,,,
